HS Code,Level,Item Description,Unit,Basic Duty (SCH),Basic Duty (NTFN),Specific Duty (Rs),IGST,10% SWS,Total duty with SWS of 10% on BCD,Total Duty Specific,Pref. Duty (A),Import Policy ,Non Tariff Barriers,Export Policy,Remark,Basic Duty (SCH)_value,Basic Duty (SCH)_unit,Basic Duty (SCH)_display,Basic Duty (NTFN)_value,Basic Duty (NTFN)_unit,Basic Duty (NTFN)_display,Specific Duty (Rs)_value,Specific Duty (Rs)_unit,Specific Duty (Rs)_display,IGST_value,IGST_unit,IGST_display,10% SWS_value,10% SWS_unit,10% SWS_display,Total duty with SWS of 10% on BCD_value,Total duty with SWS of 10% on BCD_unit,Total duty with SWS of 10% on BCD_display,Total Duty Specific_value,Total Duty Specific_unit,Total Duty Specific_display,Pref. Duty (A)_value,Pref. Duty (A)_unit,Pref. Duty (A)_display,Export Policy_text,Export Policy_links
0804 50,-,"Guavas, mangoes and mangosteens:",,,,,,,,,20,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,0.2,percentage,20.00%,,[]
0804 50 10,---,"Guavas, fresh or dried",kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,---,"Mangoes, fresh",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0804 50 21,----,Alphonso (Hapus),kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 22,----,Banganapalli,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 23,----,Chausa,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 24,----,Dasheri,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 25,----,Langda,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 26,----,Kesar,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 27,----,Totapuri,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 28,----,Mallika,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 29,----,Other,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 50 30,---,"Mangoes, sliced dried",kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0804 50 40,---,Mango pulp,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 50 90,---,Other,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0804 10 20, 0804 10 30 the entry substituted by 20%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Prefrential rate of 20% applicable in this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"Schedule Changes by Sec 88(b) of Finance Act 2019 w.e.f. 1 Jan 2020 by Ntfn 89-Cus-NT/10.12.2019.
- 1[Tariff item 0804 50 20 substituted]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST in this Heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0804,,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh.
[SNo(51) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0804,,"Dates (soft or hard), figs, pineapples, avocados, guavas, mangoes (other than mangoes sliced, dried)  mangoes and mangosteens, dried
[SNo 16 in Sch II of Ntfn 01-IGST/28.06.2017 as amended by 06-IGST/13.07.2022]",,,,,12,,,,,,,,Notes,,,,,,,,,,0.12,percentage,12.00%,,,,,,,,,,,,,,[]
0804,,"Mangoes sliced, dried
[SNo 30A in Sch I of Ntfn 01-IGST/28.06.2017",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
0805,,"CITRUS FRUIT, FRESH OR DRIED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0805 10 00,-,Oranges,kg,30,,,0/12,3.0,,,30,Free,Agri Permit,,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.3,percentage,30.00%,,[]
,-,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids:",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0805 21 00,--,Mandarins (including tangerines and satsumas),kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0805 22 00,--,Clementines,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0805 29 00,--,Other,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0805 40 00,-,Grapefruit and pomelos,kg,25,,,0/12,0.0,,,15,Free,Agri Permit,Free,Tariff,0.25,percentage,25.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,0.15,percentage,15.00%,Free,[]
0805 50 00,-,"Lemon (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",kg,30,,,0/12,3.0,,,30,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.3,percentage,30.00%,Free,[]
0805 90 00,-,Other,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0805 10 00, 0805 50 00 the entry substituted by 30%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"HS2022 Changes in this heading w.e.f. 1 Jan 2022 by Finance Act, 2021. – [Tariff item 0805 40 00 amended]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Heading 0805 20 and their items substituted by finance Act 2016,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Prefrential rate of 15/20/30% applicable in this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST in this Heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0805,,"Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, Grapefruit, including pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia), fresh.
[SNo(52) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0805,,"Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, Grapefruit, including pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia), dried.
[SNo 16A in Sch II of Ntfn 01-IGST/28.06.2017]",,,,,12,,,,,,,,Notes,,,,,,,,,,0.12,percentage,12.00%,,,,,,,,,,,,,,[]
,,SWS exempted on goods in tariff item 0805 40 00 [SNo. 1 of 11/02.02.2018],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0806,,"GRAPES, FRESH OR DRIED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0806 10 00,-,Fresh,kg,30,,,0,3.0,33.0,,30,Free,Agri Permit,Free*,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.3,percentage,30.00%,Free,['*']
0806 20,-,Dried:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0806 20 10,---,Raisins,kg,105,,,5,0.0,115.25,,95,Free,Agri Permit,Free,Tariff,1.05,percentage,105.00%,,,,,,,0.05,percentage,5.00%,0.0,percentage,0.00%,1.1525,percentage,115.25%,,,,0.95,percentage,95.00%,Free,[]
0806 20 90,---,Other,kg,105,,,5,0.0,115.25,,95,Free,Agri Permit,Free,Tariff,1.05,percentage,105.00%,,,,,,,0.05,percentage,5.00%,0.0,percentage,0.00%,1.1525,percentage,115.25%,,,,0.95,percentage,95.00%,Free,[]
,,Prefrential rate of 30/95% applicable in this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0806 10 00, the entry substituted by 30%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Preferential rate of 30/95% applicable in this heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,[SNo(31) in Ntfn 50-Customs/ 2017 dated 30.06.2017; Omitted by 02/01.02.2022 ],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0806 20 10,,"Dark seedless raisin 
[SNo(32) in Ntfn 50-Customs/ 2017 dated 30.06.2017]",,,30,,,,,,,,,,Notes,,,,0.3,percentage,30.00%,,,,,,,,,,,,,,,,,,,,[]
,,IGST in this Heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0806,,"Grapes, fresh
[SNo(53) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0806,,"Grapes, dried, and raisins
[SNo 31 in Sch I of Ntfn 01-IGST/28.06.2017]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
,,SWS exempted on goods in tariff item 0806 20 [SNo. 1 of 11/02.02.2018],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"Export Policy: 08061000- Free*- Exports of Grapes, Fresh to European Union is permitted subject to registration with APEDA",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0807,,"MELONS (INCLUDING WATERMELONS) AND PAPAWS (PAPAYAS), FRESH",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,-,Melons (including watermelons):,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0807 11 00,--,Water melons,kg,30,,,0,0.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0807 19,--,Other,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0807 19 10,---,Musk melons,kg,30,,,0,0.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0807 19 90,---,Other,kg,30,,,0,0.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0807 20 00,-,Papaws (papayas),kg,30,,,0,0.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
,,Prefrential rate of 20% applicable on this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"Schedule Changes by Sec 88(b) of Finance Act 2019 w.e.f. 1 Jan 2020 by Ntfn 89-Cus-NT/10.12.2019.
- 1[Tariff item 0807 19 00 substituted]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST on All goods in this heading SNo(54) in Ntfn 02-IGST/28.06.2017],,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0808,,"APPLES, PEARS AND QUINCES, FRESH",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0808 10 00,-,Apples,kg,75,15,,0,0.0,15.0,,40,Proh*,Agri Permit,Free,Tariff,0.75,percentage,75.00%,0.15,percentage,15.00%,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.15,percentage,15.00%,,,,0.4,percentage,40.00%,Free,[]
0808 30 00,-,Pears,kg,30,,,0,3.0,33.0,,25,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.25,percentage,25.00%,Free,[]
0808 40 00,-,Quinces,kg,30,,,0,3.0,33.0,,25,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.25,percentage,25.00%,Free,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0808 30 00, 0808 40 00 the entry substituted by 30%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Prefrential rate of 25/40% applicable in this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Schedule Rate of Basic Customs Duty in heading 0808 10 00 Hiked to 75% from 50% by 48/20.06.2018,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Basic Duty Exemption [See Also AIDC],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0808 10 00,,"All goods 
[SNo(32A) in Ntfn 50-Customs/ 2017 dated 30.06.2017 -                   02/01.02.2021 - Duty reduced to 15% from 50%]",,,15,,,,,,,,,,Notes,,,,0.15,percentage,15.00%,,,,,,,,,,,,,,,,,,,,[]
"0805 10 00, 0805 50 00, 0806 10 00, 0808 30 00, 0808 40 00",,"All goods
[SNo(30) in Ntfn 50-Customs/ 2017 dated 30.06.2017;
02/01.02.2022 – SNo. 30 to be omitted w.e.f. 1 May 2022]",,,30,,,,,,,,,,Notes,,,,0.3,percentage,30.00%,,,,,,,,,,,,,,,,,,,,[]
,,Agriculture Infraculture and Development Cess,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0808 10 00,,"Budget 2021: S. No. 32A, 32B of notification No. 50/2017- Customs are being amended. AIDC is being imposed on Apples, falling under tariff item 0808 10 00. Simultaneously, BCD on this item has been reduced. For the revised rates, refer to the Table in Annexure-C. [S. Nos. 4, 5 of notification no 02/2021-Customs dated 1st February, 2021 refers]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0808,,IGST on All goods in this heading SNo(55) in Ntfn 02-IGST/28.06.2017],,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
,,SWS exempted on goods in tariff item 0808 10 00 [SNo. 1 of 11/02.02.2018 WTO Binding – The SWS exemption is included in the duty calculation above.],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"*Import Policy: 0808 10 00 - Prohibited - However, import is 'Free' if ClF value is above Rs.50/- per kilogram. Minimum Import Price (MIP) conditions shall not be applicable for imports from Bhutan.",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,[05-Ntfn/08.05.2023 - Import of Apples below CIF Value Rs. 50 per kg Prohibited],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"Ports Opened for Juicy Apples
• Sole Monopoly of Nhava Sheva Removed
• Inland Port and Airport at Delhi Included
• India’s Land Borders Open
• No Change in 50% Duty with NTB of Phytosanitary Certificate– 30-Ntfn/12.01.2016 (DINDEX Code 6265). See details in www.worldtradescanner.com",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0809,,"APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS AND SLOES, FRESH",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0809 10 00,-,Apricots,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
,-,Cherries:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0809 21 00,--,Sour cherries (Prunus cerasus),kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0809 29 00,--,Other,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0809 30 00,-,"Peaches, including nectarine",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0809 40 00,-,Plums and sloes,kg,25,,,0,0.0,25.0,,15,Free,Agri Permit,Free,Tariff,0.25,percentage,25.00%,,,,,,,0.0,percentage,0.00%,0.0,percentage,0.00%,0.25,percentage,25.00%,,,,0.15,percentage,15.00%,Free,[]
,,IGST on All goods in this heading SNo(56) in Ntfn 02-IGST/28.06.2017,,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
,,SWS exempted on goods in tariff item 0809 40 00 [SNo. 1 of 11/02.02.2018],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0810,,"OTHER FRUIT, FRESH",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0810 10 00,-,Strawberries,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 20 00,-,"Raspberries, black-berries, mulberries and loganberries",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 30 00,-,"Black, white or red currants and gooseberries",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 40 00,-,"Cranberries, bilberries and other fruits of the genus Vaccinium",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 50 00,-,Kiwi fruit,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 60 00,-,Durians,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 70 00,-,Persimmons,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90,-,Other:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0810 90 10,---,Pomegranates,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 20,---,"Tamarind, fresh",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 30,---,Sapota (chico),kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 40,---,Custard-apple (Ata),kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 50,---,Bore,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 60,---,Lichi,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0810 90 90,---,Other,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
,,Preferential rate of 20% applicable in this heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0810 40 00,,"Basic Duty Exemption on Cranberries, fresh; Blueberries, fresh
[SNo(32AA) in Ntfn 50-Customs/ 2017 dated 30.06.2017",,,10,,,,,,,,,,Notes,,,,0.1,percentage,10.00%,,,,,,,,,,,,,,,,,,,,[]
,,IGST on All goods in this heading by SNo(57) in Ntfn 02-IGST/28.06.2017],,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0811,,"FRUIT AND NUTS, UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0811 10,-,Strawberries:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0811 10 10,---,Containing added sugar,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0811 10 20,---,Not containing added sugar,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0811 10 90,---,Other,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0811 20,-,"Raspberries, blackberries, mulberries, loganberries, black, white or red cur-rants and gooseberries:",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0811 20 10,---,Containing added sugar,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0811 20 20,---,Not containing added sugar,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
